Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie Budget,Revenue
Newton,2017,106,"Comedy, Drama",7.7,"17,734",Amit Masurkar,Rajkummar Rao,Pankaj Tripathi,Anjali Patil,29,0.5495
NH-8: Road to Nidhivan,2015,95,Horror,2.7,"17,734",Munindra,Auroshika Dey,Arjun Fauzdar,Swaroopa Ghosh,15,3.9
Prithviraj,2021,90,Action/Drama,3.2,"17,734", Chandraprakash Dwivedi, Akshay Kumar,Sonu Sood,Manushi Chhillar,28,33
Jhund,2021,175,Drama/Sport,8.6,134,Nagraj Manjule,Amitabh Bachchan,Ankush Gedam,Rinku Rajguru,22,2.3
Bhool Bhulaiyaa 2,2021,159,Comedy/Horror,7.4,174,Anees Bazmee,Kartik Aaryan,Tabu,Kiara Advani,21,169
Bell Bottom,2021,123,Action/Thriller,8,"1,733",Ranjit Tiwari,Akshay Kumar,Vaani Kapoor,Lara Dutta,25,20.3
Sitapur The City Of Gangsters,2021,127,Drama,5,"7,738",Mobeen Warsi,Jabbar Akram,Mirza Azhar,Ravi Sudha,24,123.5
Shershaah,2021,106,Action,9,"1,752",Vishnuvarshan,Sidharth Malhotra,Kiara Advani,Shiv Panditt,55,125.92
Sardar Ka Grandson,2021,156,Drama,4.3,"1,734",Kaashvi Nair,Arjun Kapoor,Neena Gupta,Rakul Preet Singh,30,254.33
Kabaad The Coin,2021,189,Drama,6.5,738,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj,55,137.57
Dhaakad,2021,90,Thriller/Action,5.5,184,Razneesh Ghai,Kangana Ranaut,Arjun Rampal,Divya Dutta,80,315
Bachchan Pandey,2021,126,Comedy Action6.8,6.8,"2,834",Farhad Samji,Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,180,100
